JOB_NAME,POD_NAME,INITIALIZED,SCHEDULED,READY,CONTAINERREADY
2021-04-13-PERF-TEST,test-pod-40,['2021-04-14T02:20:11Z'],['2021-04-14T02:20:11Z'],['2021-04-14T02:20:30Z'],['2021-04-14T02:20:30Z']
2021-04-13-PERF-TEST,test-pod-41,['2021-04-14T02:20:11Z'],['2021-04-14T02:20:11Z'],['2021-04-14T02:20:30Z'],['2021-04-14T02:20:30Z']
2021-04-13-PERF-TEST,test-pod-42,['2021-04-14T02:20:11Z'],['2021-04-14T02:20:11Z'],['2021-04-14T02:20:31Z'],['2021-04-14T02:20:31Z']
2021-04-13-PERF-TEST,test-pod-43,['2021-04-14T02:20:11Z'],['2021-04-14T02:20:11Z'],['2021-04-14T02:20:30Z'],['2021-04-14T02:20:30Z']
2021-04-13-PERF-TEST,test-pod-44,['2021-04-14T02:20:11Z'],['2021-04-14T02:20:11Z'],['2021-04-14T02:20:28Z'],['2021-04-14T02:20:28Z']
2021-04-13-PERF-TEST,test-pod-45,['2021-04-14T02:20:11Z'],['2021-04-14T02:20:11Z'],['2021-04-14T02:20:16Z'],['2021-04-14T02:20:16Z']
2021-04-13-PERF-TEST,test-pod-46,['2021-04-14T02:20:11Z'],['2021-04-14T02:20:11Z'],['2021-04-14T02:20:27Z'],['2021-04-14T02:20:27Z']
2021-04-13-PERF-TEST,test-pod-47,['2021-04-14T02:20:12Z'],['2021-04-14T02:20:12Z'],['2021-04-14T02:20:29Z'],['2021-04-14T02:20:29Z']
2021-04-13-PERF-TEST,test-pod-48,['2021-04-14T02:20:12Z'],['2021-04-14T02:20:12Z'],['2021-04-14T02:20:28Z'],['2021-04-14T02:20:28Z']
2021-04-13-PERF-TEST,test-pod-49,['2021-04-14T02:20:12Z'],['2021-04-14T02:20:12Z'],['2021-04-14T02:20:27Z'],['2021-04-14T02:20:27Z']
2021-04-13-PERF-TEST,test-pod-5,['2021-04-14T02:20:11Z'],['2021-04-14T02:20:11Z'],['2021-04-14T02:20:15Z'],['2021-04-14T02:20:15Z']
2021-04-13-PERF-TEST,test-pod-6,['2021-04-14T02:20:11Z'],['2021-04-14T02:20:11Z'],['2021-04-14T02:20:15Z'],['2021-04-14T02:20:15Z']
2021-04-13-PERF-TEST,test-pod-7,['2021-04-14T02:20:11Z'],['2021-04-14T02:20:11Z'],['2021-04-14T02:20:15Z'],['2021-04-14T02:20:15Z']
2021-04-13-PERF-TEST,test-pod-8,['2021-04-14T02:20:11Z'],['2021-04-14T02:20:11Z'],['2021-04-14T02:20:15Z'],['2021-04-14T02:20:15Z']
2021-04-13-PERF-TEST,test-pod-9,['2021-04-14T02:20:11Z'],['2021-04-14T02:20:11Z'],['2021-04-14T02:20:15Z'],['2021-04-14T02:20:15Z']
